initial_resource_pool,workload_complexity,initial_utilization,initial_cost_per_unit,initial_performance_score,optimized_resource_allocation,optimized_utilization,optimized_cost_per_unit,optimized_performance_score,utilization_improvement,cost_efficiency_improvement,performance_improvement
61,9,79.91178679508532,0.4023574867925298,70.32783919040521,67.47072954360716,74.15322153484593,0.35307585435486066,82.78613806767983,-5.7585652602393935,0.04928163243766914,12.458298877274615
24,5,70.17615696803772,0.3717674234828077,95.15953894172145,20.574349034987453,73.20406061512753,0.38871182762712986,110.93084879773693,3.027903647089815,-0.016944404144322134,15.771309856015478
81,3,34.195896342566044,0.3170685933391706,80.19254912701389,86.1100031717409,37.429417225218415,0.33922540321593464,94.798195611034,3.233520882652371,-0.02215680987676405,14.605646484020113
70,5,68.41009342968997,0.4530770266667778,78.83070035648589,73.96391986717984,75.01939367633697,0.4687443278247197,92.29987414737965,6.60930024664701,-0.015667301157941904,13.469173790893763
30,5,46.26884619001109,0.31246993301587045,77.93829723121988,24.306837589076817,46.213130625537964,0.2682890868358208,88.87901855370208,-0.05571556447312531,0.04418084618004964,10.940721322482204
92,5,65.56871949920536,0.26013559998362484,68.55847580097657,102.59730091614627,70.41231098323601,0.2148784024900737,75.02857279501646,4.843591484030654,0.04525719749355114,6.470096994039892
96,3,70.80791586620708,0.2031668358375932,89.28215517645637,111.484727235653,74.16175341695599,0.19943534077651656,105.6414475879343,3.3538375507489064,0.003731495061076645,16.359292411477924
84,4,43.84975134924073,0.47320182758127766,62.63992220078865,76.18515335666282,43.858874175864564,0.3866666655705999,73.67022014066015,0.009122826623837454,0.08653516201067774,11.030297939871502
84,9,57.41151869282212,0.08722195768595908,96.94474800206376,94.49632833265466,58.24697723239226,0.08738312350331658,108.66846041123014,0.8354585395701406,-0.00016116581735749202,11.723712409166382
97,9,41.41949176914407,0.4688993174273638,94.69926025234804,80.7973517082436,38.414318326189786,0.4497341203994068,99.98933166336829,-3.0051734429542805,0.019165197027956993,5.29007141102025
33,2,33.140332547190496,0.42202159696895825,66.87401628374491,34.31957572904607,36.0411818167751,0.42153024558938323,76.62301464155595,2.9008492695846044,0.0004913513795750113,9.748998357811047
12,8,52.70858540915214,0.10846846604106558,86.47318849158319,11.931104953604532,51.14767094396477,0.10597924838886948,91.45313860592077,-1.5609144651873734,0.0024892176521961046,4.9799501143375835
31,8,51.77665631075952,0.3042429609538641,78.66115972247957,31.569451813031602,51.219014022660325,0.2819756531698174,93.52355611260701,-0.5576422880991956,0.02226730778404673,14.862396390127444
62,7,89.72882944225543,0.4399465917870891,66.88246509996173,72.56988900673176,92.80940376010116,0.3784698426608197,79.87402869900099,3.0805743178457305,0.06147674912626944,12.991563599039253
11,8,56.78114107185853,0.3073141236232192,99.42608239977233,12.633787087886155,54.89489963267098,0.27403527408547934,107.2234259487848,-1.8862414391875504,0.03327884953773985,7.797343549012467
97,3,50.014172968332026,0.45823991970228,51.26186729241321,108.06124590090256,47.55606800279549,0.4386960660659951,59.02590803741117,-2.458104965536535,0.019543853636284914,7.764040744997963
39,6,64.82850040300048,0.47434271756721913,62.63230153106433,35.46969593978259,66.52764753188677,0.4722368389646257,66.63076962497946,1.6991471288862954,0.002105878602593425,3.998468093915136
47,1,35.326043646466104,0.24007303498293764,76.00370305555752,54.74219021929852,31.969957038050595,0.2481982840606877,88.12078641032649,-3.3560866084155094,-0.008125249077750057,12.117083354768965
11,7,87.6999441572888,0.21979114763284563,76.0976501739282,9.229033846841052,91.57146015705902,0.22641811789774666,83.86669898191555,3.8715159997702244,-0.006626970264901028,7.769048807987346
73,1,68.09760273546199,0.4713445192861206,79.4466537472782,83.3172131235166,68.2885943096346,0.5146170678611216,91.5350592963212,0.1909915741726138,-0.04327254857500101,12.088405549042989
69,9,75.29026919645086,0.3538130275173506,87.58380860114596,64.25721799695957,76.88271456434087,0.31339075051634435,96.86169075327732,1.592445367890008,0.04042227700100626,9.277882152131355
30,1,40.228676290435054,0.10221020660667618,81.17389152596482,24.6452677399438,41.28974913752985,0.08394863733887369,87.00502829019925,1.061072847094799,0.018261569267802494,5.831136764234429
42,1,54.568671180312236,0.06903128715020654,80.01407302640185,44.84519733524457,54.86388939931598,0.06238337267202039,88.88895372322429,0.29521821900374334,0.006647914478186148,8.874880696822444
85,7,55.36134680377137,0.3040830729487684,52.675723145652164,75.86351756274249,56.275183018955744,0.31107343879860855,56.19978322716354,0.9138362151843751,-0.006990365849840141,3.5240600815113794
67,2,79.30838663406522,0.46857693444729104,68.82651438946492,60.12770617317214,82.22357577305591,0.4364482518738797,78.22356986287451,2.915189138990698,0.03212868257341134,9.397055473409594
31,5,30.074200785564567,0.42991191608261825,61.602786985057804,28.594984861236767,31.596670192102998,0.449402630209563,65.06133561106812,1.5224694065384305,-0.019490714126944753,3.4585486260103124
98,8,48.0511865011953,0.3541314859089514,63.268505580098775,80.89644288609867,50.237057955961745,0.34166531731284716,71.43634007279265,2.185871454766442,0.012466168596104221,8.16783449269387
